Time, print1
0, -3
0.1, -3
0.2, -3
0.30000000000000004, -3
0.4, -3
0.5, -3
0.6, -3
0.7, -3
0.7999999999999999, -3
0.8999999999999999, -3
0.9999999999999999, -3
1.0999999999999999, -3
1.2, -3
1.3, -3
1.4000000000000001, -3
1.5000000000000002, -3
1.6000000000000003, -3
1.7000000000000004, -3
1.8000000000000005, -3
1.9000000000000006, -3
2.0000000000000004, -3
2.1000000000000005, -3
2.2000000000000006, -3
2.3000000000000007, -3
2.400000000000001, -3
2.500000000000001, -3
2.600000000000001, -3
2.700000000000001, -3
2.800000000000001, -3
2.9000000000000012, -3
3.0000000000000013, -3
3.1000000000000014, -3
3.2000000000000015, -3
3.3000000000000016, -3
3.4000000000000017, -3
3.5000000000000018, -3
3.600000000000002, -3
3.700000000000002, -3
3.800000000000002, -3
3.900000000000002, -3
4.000000000000002, -3
4.100000000000001, -3
4.200000000000001, -3
4.300000000000001, -3
4.4, -3
4.5, -3
4.6, -3
4.699999999999999, -3
4.799999999999999, -3
4.899999999999999, -3
4.999999999999998, -3
5.099999999999998, -3
5.1999999999999975, -3
5.299999999999997, -3
5.399999999999997, -3
5.4999999999999964, -3
5.599999999999996, -3
5.699999999999996, -3
5.799999999999995, -3
5.899999999999995, -3
5.999999999999995, -3
6.099999999999994, -3
6.199999999999994, -3
6.299999999999994, -3
6.399999999999993, -3
6.499999999999993, -3
6.5999999999999925, -3
6.699999999999992, -3
6.799999999999992, -3
6.8999999999999915, -3
6.999999999999991, -3
7.099999999999991, -3
7.19999999999999, -3
7.29999999999999, -3
7.39999999999999, -3
7.499999999999989, -3
7.599999999999989, -3
7.699999999999989, -3
7.799999999999988, -3
7.899999999999988, -3
7.999999999999988, -3
8.099999999999987, -3
8.199999999999987, -3
8.299999999999986, -3
8.399999999999986, -3
8.499999999999986, -3
8.599999999999985, -3
8.699999999999985, -3
8.799999999999985, -3
8.899999999999984, -3
8.999999999999984, -3
9.099999999999984, -3
9.199999999999983, -3
9.299999999999983, -3
9.399999999999983, -3
9.499999999999982, -3
9.599999999999982, -3
9.699999999999982, -3
9.799999999999981, -3
9.89999999999998, -3
9.99999999999998, -3
