Time, Data
0.0,0.0
0.01,0.00999966667999946
0.02,0.019997333759930933
0.03,0.029991003238820143
0.04,0.03997868031116357
0.05,0.04995837495787998
0.06,0.059928103529143496
0.07,0.06988589031642899
0.08,0.07982976911113136
0.09,0.0897577847471601
0.1,0.09966799462495582
0.11,0.10955847021442953
0.12,0.11942729853438588
0.13,0.12927258360605834
0.14,0.13909244787845804
0.15,0.14888503362331798
0.16,0.1586485042974989
0.17,0.16838104587081473
0.18,0.1780808681173302
0.19,0.18774620586828542
0.2,0.197375320224904
0.21,0.20696649972945258
0.22,0.21651806149302882
0.23,0.22602835227867096
0.24,0.23549574953849794
0.25,0.24491866240370913
0.26,0.25429553262639115
0.27,0.26362483547220333
0.28,0.27290508056313273
0.29,0.2821348126696341
0.3,0.2913126124515909
0.31,0.3004370971476541
0.32,0.30950692121263845
0.33,0.31852077690277086
0.34,0.32747739480870536
0.35000000000000003,0.33637554433633227
0.36,0.3452140341355209
0.37,0.35399171247704597
0.38,0.3627074675780511
0.39,0.3713602278765077
0.4,0.3799489622552249
0.41000000000000003,0.3884726802160611
0.42,0.39693043200507755
0.43,0.405321308689463
0.44,0.41364444218713514
0.45,0.42189900525000795
0.46,0.4300842114019795
0.47000000000000003,0.43819931483276775
0.48,0.4462436102487796
0.49,0.4542164326822591
0.5,0.46211715726000974
0.51,0.46994519893303766
0.52,0.477700012168498
0.53,0.48538109060537155
0.54,0.49298796667532435
0.55,0.5005202111902353
0.56,0.5079774328978962
0.5700000000000001,0.5153592780074098
0.58,0.5226654296858209
0.59,0.5298956075275294
0.6,0.5370495669980353
0.61,0.5441270988535675
0.62,0.5511280285381469
0.63,0.5580522155596244
0.64,0.5648995528462251
0.65,0.5716699660851172
0.66,0.5783634130445058
0.67,0.5849798828807288
0.68,0.5915193954318165
0.6900000000000001,0.5979820004989413
0.7000000000000001,0.6043677771171635
0.71,0.6106768328168442
0.72,0.616909302877065
0.73,0.623065349572361
0.74,0.6291451614140354
0.75,0.6351489523872873
0.76,0.6410769611853464
0.77,0.6469294504417666
0.78,0.65270670596199
0.79,0.658409035955251
0.8,0.6640367702678489
0.81,0.6695902596187708
0.8200000000000001,0.6750698748386079
0.8300000000000001,0.6804760061126619
0.84,0.6858090622290945
0.85,0.6910694698329306
0.86,0.6962576726866815
0.87,0.7013741309383125
0.88,0.7064193203972353
0.89,0.7113937318189625
0.9,0.7162978701990244
0.91,0.7211322540766999
0.92,0.7258974148490807
0.93,0.7305938960959438
0.9400000000000001,0.7352222529158693
0.9500000000000001,0.7397830512740043
0.96,0.7442768673618373
0.97,0.7487042869693087
0.98,0.753065904869552
0.99,0.7573623242165263
1.0,0.7615941559557649
1.01,0.7657620182484389
1.02,0.7698665359089004
1.03,0.7739083398558421
1.04,0.7778880665771849
1.05,0.7818063576087741
1.06,0.7856638590269437
1.07,0.7894612209549805
1.08,0.7931990970835009
1.09,0.7968781442047267
1.1,0.8004990217606297
1.11,0.8040623914048921
1.12,0.8075689165786144
1.1300000000000001,0.8110192620996814
1.1400000000000001,0.8144140937656861
1.1500000000000001,0.8177540779702878
1.16,0.8210398813328771
1.17,0.8242721703413975
1.18,0.8274516110081667
1.19,0.8305788685385285
1.2,0.8336546070121552
1.21,0.8366794890768107
1.22,0.8396541756543754
1.23,0.8425793256589296
1.24,0.8454555957266803
1.25,0.8482836399575129
1.26,0.8510641096679439
1.27,0.8537976531552436
1.28,0.8564849154724974
1.29,0.8591265382143658
1.3,0.8617231593133063
1.31,0.8642754128460111
1.32,0.8667839288498187
1.33,0.8692493331488548
1.34,0.8716722471896521
1.35,0.874053287886007
1.36,0.8763930674728229
1.37,0.8786921933686958
1.3800000000000001,0.880951268046997
